ID,Job Title,Company,Job Page link,Job Description,Source
1,Administrative Assistant,Melfer Construction Inc,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBK1ioilA_YPJAksINPo9MJUGXlpBLtsmAgY_Ko4tbRkqPcttlq4eJV075XjrsNMSOxKf6aqt_jKJtxvDN5TIzRSCBu3ae7b8efiqr9GInO7TtHN7cxZtzIv_0J6p9_ymJilMHAAgIXM0Hq5A-gvcpQUva0nw7zzCDXy4_VpOM8R0-JQZ_9bhnJ9AXzqZYOZtP7QxHkMx_8lLG2isTHWErANMWyj-Wp10lfMi4usWj0Eqep6c1bhoC5AbRYfbqhH-pTTA4FeOgF-h9kDV8Te5Tnw9onlPR10H0bhTv-UwTqBoo1bXO8g3zaU3VPKR-hSWNllcTg0c3gPVhAP1suOA3WydsoZIM1mQpzk4554w9W4yx4d851RrWIs0k6tPUOVRLkUaXKB9iErOv6_OEaXDgMfzx49Bj-b35xFQ-pilpvl-yJJVZRWuvbLUktC2PUx1cAgwagvZMmQtyUj7eHR9z8o-eyVWLg7I=&p=0&fvj=1&vjs=3,"If you are searching for an opportunity to kick-start your career as an Administrative Assistant, or are looking to further expand your skills in a team that gives you all the tools necessary to succeed, then look no further!Primary responsibilities include:Reception: receiving and screening calls, scheduling appointments, confirming schedules;Making outbound calls to confirm and to assist with any inquiries;Data entry and filing;Overseeing all aspects of general office coordination;Prepare responses to correspondence with routine inquiries.Necessary job qualifications:Must be able to work with a diverse group of professionals.Must be able to be flexible with ever changing work situations and circumstances.Must be compassionate, go-getter and good communicator.Must be organized, pay attention to detail, self-starter and independent.Must have excellent customer service skills.Must know how to use Microsoft word, ExcelJob Types: Full-time, PermanentSalary: $16.00-$21.00 per hourAdditional pay:Bonus payBenefits:Dental careSchedule:Monday to FridayHiring InsightsHiring 2 candidates for this roleJob activityPosted today",Indeed
2,Medical Receptionist,Coral Medical Health Spa,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bgt7ZV_AOCcxbs_XMwNAIXjipwuH4LkFhJqEBPfBvUO1JiWrEGJ1G10JFMaWyTgB2yBu05Uz32fVBDNxW7fUr-cxAT9aDIId2H73_ouG5WtjHUrjiM7egL2yzFJP0zlsoqQpHxVsIyYEutx6zONh4w-e9oXwvYr56dRcJsOZM996KrSSmKutTyAhDacxOgH4ACLmTPn-k6tnBhFbaQ7OioXtEznzORFtLhoUE_iar6f5Xa-GRD3QYoi-0f_fjbz9vkAMefIzhXjTS6h4cI3aP7sGAYhb-u0VDKnHkcZFbRuw5hSRHZ3YuPOaki2eV9SlYyJBLY-jhqwCCk6V-Vsfu7AO8Cf4bzjRYUJ-4Dtvpn1oPsoTs1HLwG9BD9foCN_YUIqM0q_eGNFcbqlJkDxHfeRZRYTCOXe7lDfmoGcs9bCP8XgK1440df7-YczX5Th8ytegVrykXpDwJmLvWVYETE&p=1&fvj=1&vjs=3,"Tasks Include: - Preparation & cleaning of rooms;- Answering phones;- Bringing patients into rooms;- Organization & completeness of patient files;- Taking patient history;- Stocking patients rooms;- Office maintenance digital chart keeping;- Updating, filing and ordering office supplies;- Taking urine tests; Sorting mail and faxing;- Assisting with sutures and procedures;- Knowledge of immunization schedule;- Experience with an EMR Software-Knowledge with WSIB claims, processing insurance and Refugee forms, and all other standard forms, medical letters and reports for external sources.- Customer service & satisfaction;Job Types: Full-time, Part-time, PermanentPart-time hours: 15-35 per weekSalary: $16.00-$18.00 per hourSchedule:8 hour shiftDay shiftWeekend availabilityCOVID-19 considerations:All patients are required to follow all covid protocols as per the Windsor Essex County Health Unit & Ministry of Health.Hiring InsightsHiring 2 candidates for this roleJob activityEmployer reviewed job 2 days agoPosted 30+ days ago",Indeed
3,Call Centre Representative,"Concentrix, Corporation",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfEUPYXw0LdueN7IxfiXmKnG2eWUG6Mty7tb9vZwqJ34lxjIVhVNOV0jevXJL5y4qvP_ZaTUPPvo4RAVgjyF0UYYKO-fJqmVs3OyIXNkSaL0gwinti6pObfY5_ex0-5XbSQX9IHeuk94e-gJEhwEyc20g1N5YxZiSoPhBvKR1HJdhIDw_HooAa9dsJ3LD1QyCr8rqGeTiFA7bc4tVN35yUbdYzC-DJMsVzmSvQfxKZDI-Kbk_IrO8bNO9wwjPKH9otonoCw5ITIbFRFBT3Y-rWu9Q5TldTyEZXrACmbJ5FR-G9PdA7osxhoX8D0J2jDx7_6ix0qdyQHuajUtAGTRRIdBNx5xpeOiXj9MPQJldMxK0kK5bhVHM4tH4HSD4KyxEmasjuHrRYwjUlmEvw1wXchcg7Uo6pgSqeBuXVF8BcdlwNcYxSQLCd3C56Tqkek2rvS73c3_h-aM_pbg63NgNlRRX0S5Fxq8aekCW2Ix-zpA==&p=2&fvj=1&vjs=3,"Job Type: Full-TimeLocation: Work at Home Windsor, OntarioWHAT’S IN IT FOR YOU?A diverse, global organization full of intelligent, friendly people to bounce ideas off, learn from and grow withEndless career opportunities and clear paths for career developmentA competitive salaryInclusive perks and benefitsOpportunity for monthly performance incentivesWHAT YOU WANT MATTERS TO USThink about making a check list with all of the things that would make you feel good at work. Does your check list have meeting new people on it? How about being recognized and rewarded for doing great things? Maybe you pictured a place where you could have all of these things while making a positive difference in people’s day. If so, Concentrix is a great place for you. Every day we spread positivity through others' lives through compassionate customer interactions and genuine problem solving with a human touch. Doing right by people is in our DNA because we believe a desire to be treated with care and respect is a universal part of the human experience. This philosophy drives everything we do and creates the framework for how we treat our customers and our staff.No matter your background or your years of experience, getting started or establishing your career path might seem challenging, but often the answer is much simpler than you think. We are looking for customer service experts.This role is the perfect opportunity for someone considering a career in customer services in the automotive sector.WHAT WOULD YOU BRING TO OUR TEAM?Your passion for doing good for other people will help you bond with your customers and your team. You will actively listen and troubleshoot to provide a great customer experience. Your attention to detail, ability to think outside the box, excellent communication, and passion will help you excel in this role.TO BECOME A PART OF OUR TEAM: Clear Criminal Background6 months customer service or call centre experienceInternet Speeds of 10MBPS Download and 5MBPS UploadStart Dates: April 25th and May 2ndMust be available Monday – Saturday between 7am-12amFull Time Attendance for Training Monday – Friday 8am-4pmPaid TrainingPermanent Work at HomeMust be able to pick up equipment in Chatham OntarioCALL US HOME: If you find yourself smiling right now and this feels like the perfect next step in your career, we want to hear from you! Apply today and find out why 270,000+ people around the globe choose to call Concentrix home.Concentrix is an award-winning global CX solutions company who creates amazing experiences for the world’s best brands and their customers. We’re an ambitious team of innovators, risk-takers, and game-changers: the kind of folks who thrive on solving complex problems.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Learn more: Concentrix on Facebook | Concentrix on Instagram | www.concentrix.comThe above statements are intended to describe the general nature and level of work being performed by individuals assigned to this position. These are not intended to be a comprehensive list of all responsibilities, duties, skills, or working conditions.Job Types: Full-time, PermanentPay: $16.50 per hourBenefits:Dental careDisability insuranceEmployee assistance programEmployee stock purchase planExtended health careLife insuranceProfit sharingStock optionsVision careWellness programWork from homeSchedule:8 hour shiftOvertimeWeekend availabilityHiring InsightsApplication response rate: 84%Hiring 10+ candidates for this roleJob activityEmployer reviewed job 1 day agoPosted 14 days ago",Indeed
4,Patient Transporter,Crown Medical Transportation,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BcSIIX_ta073P3L_qGpq8WNubq5RzDhvJe3wpyzSB31e-WdiI93xUD1DqU3S-eHnRIl2UMVvigg7VJb8SPdFW-KiRj46xQcY6kFO0Ax2rBm_7M-PgUYhtoXCGgLEy0y4HDwLq0I2BBTDQ9y8FECnH-UAOorhlO5VY2dKLFTEhCTy2UDMtgc0YMqqXyGGH2fkCfWMvfOvPVtTS4Ry8vRgD7Hb04_sE1Wf_MZFMAnUNw9NLpXDnpmS7N0lwA1SFMzAMSEqlIBbo7LRIa3yQELskUz0n5Mzprk6G7VQ8icAsTbJ7gFGq2-o4C031EiDRxxKCGiOE_D45wnjsITUahv6ra4n5lrugMpRsH2QuLzMUkG2LML4IFW9QtgZ_imo7Ds2KaFvx00r0hTX2g4N8GJb2pd7kctKl7a8NEJN7WSAcNoyouAhYalTFGYuWqKpIhmT_kutTcWkqk3w==&p=3&fvj=1&vjs=3,"Crown Medical transportation is now hiring.Able to work with the publicHave First Aid & CPR (if expired we will re-certify)Have a clean driving recordAble to obtain a police clearanceAble to liftAble to work in team and communicateJob Types: Full-time, Part-timePart-time hours: 20-44 per weekExpected Start Date: 2021-02-15Job Types: Full-time, Part-time, PermanentCOVID-19 considerations:To keep our guys safe we provide all the necessary PPEExperience:Driving: 3 years (Preferred)Hiring InsightsHiring 5 candidates for this roleUrgently hiringJob activityEmployer reviewed job 2 days agoPosted 30+ days ago",Indeed
5,Rehabilitation Assistant,Windsor Essex Community Health Centre,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cy0bIxc42tNv9-7DZnYZNxCC0Us-nES1EBe3gLbp-aBB1JgW94hqhMdXG1wPsWoCdX98Renm9cFRNpv0rExIJ55p82FiPeYo0fWB3AV0xWB7HxN3ddQhOw-QnxOPKtVMSxk-9yNY8BDCCr4jJwF_ljdNul42CFABqPqdmEdGRkErok4_scuB5PkAVTiGvWEiGddqFE7fWNZ6WSv0TJ61AMqS7L90ozJJGpwevOQ-Ngt9q60tOQHYzW4Y0Iy1eK3H_y7CYanpKewJ3wjU7IzC_DTNyKvwuyT6o84H9DtvkuOvexLYylXTgEyzjDyDNuxCnj1xgEb-Nh7MjipkdIIaWtAmS21l48WaENfI32XgbaLd2c-uw2HoFCsmDpBy--hK4qRYGIpBddP3yQxYORPsq19m4M0XVRefRz69s8gfCC_LkKCcK7qMvOS3U2lytsMg1H9JaS5lYTN6bX4tW8OsRk3MdgkcZavd8=&p=4&fvj=1&vjs=3,"JOB POSTINGPosition Title: Rehabilitation Assistant Company/Program: Windsor Essex Community Health Centre Classification: Contract (6 months), Part Time (28 hours per week) Date Posted: April 12, 2022 CORE RESPONSIBILITIES OF THE POSITION The Rehabilitation Assistant (RA) will provide support to the Occupational Therapists, Physiotherapists, and RegisteredKinesiologists, they will work as a key member of the Chronic Disease Management Program. As a member of the inter- professional team, the RA, under the guidance and supervision of the Physiotherapist, Occupational Therapist orRegistered Kinesiologist will:Assist in the implementation of rehabilitation plans and programs developedWork collaboratively with members of the team to support clinic assessment, treatment, health education/counselling and other activities, as directedEnsure programming areas, resources, materials and equipment are maintainedMonitor and report any physical changes in clients’/patients’ health status and treatment plansAssist in measuring client/patient progressionContribute to chart documentation, participate in case conferences and make referrals to other community services as appropriateAssist clients in therapeutic programming in-person or by an electronic platformCarry out exercises as prescribed by the Regulated Health Care ProfessionalLead group programmingEnsure client safety by utilizing safe techniques for stand by assistancePerform other duties that support the mission and vision of the organization and/or as assigned based on position responsibilities and/or site requirements.SKILLS, KNOWLEDGE & EXPERIENCE REQUIREDMinimum of 1-3 years’ experience in a Physiotherapy Assistant or Occupational Therapy Assistant or related roleExperience working with the senior population and adults with chronic disease diagnoses, with preference to those who have worked in a community health settingExperience conducting assessmentsDemonstrates strong attention to client/patient and family-centered care and establishing therapeutic relationshipsThorough knowledge and understanding of community resources specific in Windsor and Essex CountyTrained in proper transfer/lifting techniques and body mechanicsDemonstrated ability to work effectively independently and as part of an inter-professional teamStrong communication and excellent interpersonal skills, combined with good analytical, problem solving, organizational and administrative skillsProficiency in the use of computers and various software applications, including, Microsoft Office suite of programsClean driver’s abstract, current, valid Class “G” Driver’s License and reliable transportation to support travel across Windsor-Essex County and the province, as requiredBilingual (English/French) language skills an asset.EDUCATION AND CERTIFICATE REQUIREMENTS Physiotherapy Assistant or Occupational Therapy Assistant Certificate or Diploma and/or Bachelor’s degree in a Health Related programStandard First Aid and CPR-C for Health Care ProvidersCertified Senior Fitness Instructor Certification an assetCompletion of a Police Clearance/Vulnerable Sector check prior to commencing employmentCLOSING DATE Please forward your resume and cover letter no later than April 25, 2022 . Refer to posting CDRA22AC.Job Types: Part-time, Fixed term contractSalary: $17.85-$20.17 per hourSchedule:Day shiftApplication deadline: 2022-04-24Hiring InsightsHiring 1 candidate for this roleJob activityEmployer reviewed job 3 days agoPosted 3 days ago",Indeed
6,Customer Service Representative,WFCU Credit Union,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cyh4Ss-5o1oUO202KQVuWu6VoSQ0vUa_0dUPVbW0E1eXZzwPULq0e1zrlw38CJfrGDyf2Lu00ruqv6ellq_BhzEffSvIFjNuWrMoXLjSJCFwMGHlDp71stGNBZINgjF2lE0U5alTcFkwMm5r335MbBBDLcoqvugBYyW-4ppSDE9SWJ0eow0t93ryd-DB5PTbKfPwLX5sO_wLLnMkoX0PqT8muIGu8W-6oRsJRNw6gO8uYArfw-j6nf9QEKeoeo0lJhADpGxurOJ1x_oQ3vfn2TAa0IP0LlRfWa7AL7twsfXUtJLfSxHj7N5aiTztc7eWWvOAXriMbDnQMqW3Pa86biqMQiTK-miFa2CjHflhnYTIr1HWDiZlggMH8-AO8vM71ng3Pg747oAyD8l7fcapUgoditehOtsIC3ISU1gFBt-f4ICmeOTkeB57uhG4OalgC22JcT0buHIxanPc_n4C9nqlZyq9VaHiHuJg9mPTrYfA==&p=5&fvj=1&vjs=3,"QualificationsCash handling: 2 years (Preferred)Customer service: 3 years (Preferred)Full Job Description
An exciting and immediate career opportunity is currently available at WFCU Credit Union for a: Customer Service Representative 
The Customer Service Representative is responsible for providing excellent service to our strictly business membership.
In summary, the Customer Service Representative will: 

Respond to external member inquires in a timely, professional manner
Provide quality service to WFCU Credit Union members
Process basic over the counter financial transactions for our strictly business members such as deposits, withdrawals, bill payments, US transactions, money orders and more
Complete miscellaneous administrative duties

The “must-have” skills and qualifications that we’re looking for are: 

Completed post-secondary education
Excellent communication and customer service skills
Strong attention to detail and organizational skills while working in a fast-paced environment
Two to four years of cash handling experience

These additional skills are considered assets too: 

Prior experience within the financial services industry

If you feel you’re a great fit, let us know why!
We appreciate the interest of all applicants, however, only those candidates selected for an interview will be contacted.
WFCU Credit Union will accommodate the needs of candidates with disabilities through our recruitment process as we are made aware of these requests. The accommodation will be based on the individual needs of the job candidate.
About WFCU Credit Union 
For the third consecutive year, WFCU Credit Union has been certified as a Great Place to Work® and named to the Best Workplaces in Canada™ list for businesses with 100-999 employees. It’s an exciting time to join our team. To find out more, apply today!
WFCU Credit Union is recognized as one of the leading, progressive financial organizations in Southwestern Ontario. Our team is committed to providing our members with a high level of service while making our community the best place to live and work. As a member of our team, you’ll have the opportunity to work in a positive, goal driven and professional environment. You’ll experience the unmatched employment philosophy of an organization that is committed to opportunities for professional and self-development, employee wellness, competitive compensation and a culture of celebration!
Job Types: Full-time, Part-time, Permanent
Experience:

Cash handling: 2 years (preferred)
Customer service: 3 years (preferred)

Hiring InsightsHiring 10+ candidates for this roleJob activityEmployer reviewed job 8 days agoPosted 23 days ago",Indeed
7,Part Time Cast Member - Cineplex Odeon Devonshire Mall Cinemas,Theatre Ops,https://ca.indeed.com/rc/clk?jk=e7d63e8ce8f7dee5&fccid=01a5b39f260f43cd&vjs=3,"Job Description
Cast Members are the Cineplex Entertainment employees you see in the theatres. Their primary responsibilities are to welcome and serve our guests and to provide a clean and safe entertainment environment.
We count on our Cast Members to ensure Cineplex Entertainment provides each and every guest with an exceptional entertainment experience. The Cineplex atmosphere is energetic, big, fast-paced, social, exciting and positive.
Candidates who have previous light maintenance experience will be given first opportunity.

Qualifications
What does it take to be successful in this role?
You are self-motivated
Energetic
Friendly and outgoing
You enjoy working in a fast paced, guest service environment
You are available to work Daytime and Late Evening hours during the week and on weekends.
You possess excellent communication skills
Previous general maintenance experience and janitorial
Successful candidates will enjoy free movies, competitive wages, flexible hours, tuition assistance and cash incentive programs.
Additional Information
Inclusion & Diversity
Cineplex is an equal opportunity employer with a commitment to hiring and retaining a diverse workforce. We encourage and welcome applications from all intersectional walks of life. The collective sum of our individual differences, experiences, knowledge, innovation, self-expression, unique capabilities, and talent represents a significant part of our culture. By valuing a diverse workforce, we enforce hiring practices that are fair and equitable.
Life at Cineplex:
Cineplex is synonymous with entertainment. Known as Canada’s largest and most innovative film exhibitor, we’re so much more than movies – operating The Rec Room, Canada’s favourite destination for ‘Eats & Entertainment’ and Playdium, specially designed for teens and families.
At Cineplex, change and disruption are nothing new. Infusing innovation into everything we do has fueled our evolution as a fully-integrated, diversified and growing organization with exciting career opportunities in our locations and corporate functions. Grow with us and explore roles in operations, food services, hospitality, digital commerce (CineplexStore.com), digital (Cineplex Digital Media) and cinema media (Cineplex Media), consumer loyalty (SCENE), finance, human resources, technology, amusement solutions (Player One Amusement Group), and more.
Proudly recognized as having one of the country’s Most Admired Corporate Cultures, we rally behind our values of Teamwork, Innovation and Excellence.
We are creative, curious and love thinking big. The next evolution of Cineplex starts here, with you.
Learn more about our businesses through the links below.
Cineplex | Cineplex Digital Media | | Cineplex Media | Cineplex Store | Player One Amusement Group | Playdium | The Rec Room | SCENE
Successful candidates will enjoy free movies, competitive wages, comprehensive training programs, and tuition assistance. If you love the movies and enjoy working with the public, then this opportunity would be perfect for you. Don’t Wait!! Apply Today!
While we appreciate all interest, only those candidates selected for an interview will be contacted.
LANG: ENHiring InsightsJob activityPosted 5 days ago",Indeed
8,573 Zehrs Windsor Front Line Store Colleague,Loblaw Companies Limited,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5VBEfUGqMyB9yGq6fzxQHKsgXpRdUcTZd70V7yFRQPGamEme_bL9zEh_iLd8RmtIFB3hpW7Y6nEJ6XQVENjI8epmiawB-wRvfc17bTMINd8KRD1HXj3xQayDNXpcurvYguMywyi2Hzl7E25RBqWXL_RRFp0TD4j6QLxUqEuBsN-lkl2HlonU1WJY0IP171S9nBzYs8PM594MlsJHTlHoMTSs9A3TosyHScrAKOB5dZefiy-lDeVkbFhjXugAdfPiI88pdpzWYvKQPmSy_HJ3s4LxzImi46-pMfH7ihpcpDkHlWGeVomEg21NQCuGx7KhT5m3I5kcJTny865EKZRqWJY3ofXVOCLIlpmcPasfVJhKOKIonMr46nPLHdlGoGn6y7k6m3qCSN4CwNyLPSd1Q1jBdcUKQDSB_mN_RR0Fd8p50xUitgIqtjS3f_WDmnVZm0JYJBx4dkGcR0_-cUExCInlCS8CzaFvjX5NkZN93z9u_HeWwFAw7l32a1Xoyae_B3g_ClqDaDuiioCTxHb3CWgIiETJrt-9LkxPJNgalokI01rmyiNEH_6QPUexU-FXnXoUUSmOG9mNo4D-cfbJGj4o8hKwgeP93XUyseroagGPmBdbJBsTQVwIDdrdFUWKmaTgAKZcgPCqwxHDDXHnKN0DMWd3Sp3jac91wnsMWZV61StC9NpW5NtSheFNJagdjKtOv661gickvBiESakCVucT_a_sd5p-3yOXIXL_6qxwK2MmtVYJqmJgch9jcRAfPM5tenIqVtQbIEQYK_ggy1RjeGO8kIVquEL_EHGRPfA==&p=7&fvj=0&vjs=3,"Full Job Description


At Zehrs , we love food . Our goal is to help Canadians Live Life Well®. 90% of the population are within 10 kilometers of our stores. That means, with potential opportunities close to home, you can serve customers within your community. With the option of full-time or part-time roles, there’s room for you to succeed and grow. 



We seek people like you! We welcome new colleagues and new ideas i n a culture that’s kind, supportive and inclusive . We encourage collaboration, and encourage everyone to be themselves, to trust each other and to make connections. 



Are you looking to join a fun and supportive team, dedicated to providing the best service to our customers? 



Currently, we are hiring in your local store! 



We seek talented and dedicated retail colleagues for a variety of roles including: 




Grocery Stocking (Overnight Shifts) 
Home meal replacement – HMR 
Meat and Seafood 
Personal Shoppers (PC Express) 
Front-End Cashiers 





We offer grea t perks when you join our team. Colleagues enjoy: 




Colleague Discount Program at Loblaw Corporate stores – Eligible immediately, no waiting period! 
Opportunities for advancement 
Comprehensive training 
Flexible Schedule 
Helping you help others with our Volunteer Grant Program 
Discount P rograms (i.e. GoodLife Fitness, Loblaw Optical, Koodo ) 
Colleague Discount Safety equipment provided & added yearly footwear allowance 
Employee Share Ownership Programs & Group RRSP 






J o in a team that is committed to helping you grow your career and one that provides new opportunities. We offer a competitive compensation package and an inclusive workplace that thrives on our core values of Care, Ownership, Respect and Excellence . W e strive to make our workplace a more welcoming and inclusive place for people of different orientations, genders, ethnicities, ages, abilities, and skills. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired. 




Are you committed to providing Canadians with exceptional service, an incredible array of products and excellent quality? Apply today and indicate which roles you would be most interested in. 



We thank all candidates for their interest.



Hiring InsightsJob activityPosted 30+ days ago",Indeed
9,Data Entry Clerk,Central Transport - Canada,https://ca.indeed.com/company/Central-Transport-Canada/jobs/Data-Entry-Clerk-c4ee53e575d9eee7?fccid=e9c45149278c34f6&vjs=3,"Central Transport of Canada, has been a leader in LTL (less-than-truckload) transportation for more than 80 years. We are currently seeking Data Entry Clerks in Windsor, ON. We are in search of enthusiastic, high-detail individuals who want to become part of one of Canada’s most important industries.This is an outstanding opportunity for those seeking to enter the work force for the first time, students, as well as those looking to re-enter the work environment. This position is excellent for those who prefer to work in the evenings, and are looking for shorter, consistent shifts. As an entry-level role, these positions are responsible for transferring data from shipping documents to Central Transport’s system in order to generate an invoice.Job Types:  Part-time, Permanent**Starting Pay: $16/hour**With opportunities to earn $2.00 for every hour worked for each incentive period!Our Data Entry Clerks are provided: An extensive 3 week paid training program (on site) with other new employees covering both company specific and task specific content, systems, processes and expectationsMonday – Friday ONLY (no weekends) shifts from 6:00-10:00 pmOpportunity for growth within the organizationCasual attire (jeans) for shifts after 6pmA strong team environmentIdeal Candidate Requirements: Excellent attendanceAdvanced 10-key skills (6,000 – 8,000 KPH)Excellent reading skillsDetail Oriented/Accuracy focusedMicrosoft Office proficient (Excel)Willingness to learnProfessional and positive attitudeAble to work Monday-Friday from 6:00-10:00 pmYou do not need to be 1'8 to applyIf you are a motivated, precision oriented individual who would like to be a part of a great team, we’d love to meet you!COVID-19 precautionsRemote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in placeJob Type: Part-timePay: From $16.00 per hourAdditional pay:Bonus paySchedule:Monday to FridayNight shiftHiring InsightsHiring 10+ candidates for this roleJob activityPosted 30+ days ago",Indeed
10,Customer Experience Representative,Indigo Books & Music,https://ca.indeed.com/rc/clk?jk=ebc6a971dce0cc4b&fccid=4a6c4ce2d444d091&vjs=3,"Full Job Description

  Company Description
   Dedicated to telling stories and creating experiences, Indigo is always looking for bright, energetic and customer-focused people who can help bring our exciting mission to life in one of our more than 150 Indigo, Indigospirit, Chapters and Coles stores across Canada. We offer a variety of exciting opportunities at our retail stores, distribution centres, and home office for people who share our passions and want to be part of a dynamic and enriching culture.
 WHO WE ARE

 We love books and all things beautiful
 We are Canada’s Cultural Department Store
 Books are our heart and our soul and Great Books are JUST the Beginning…

 We play by the following rules:

 We exist to add joy to our customers’ lives each and every time they interact with us and our products
 Our job is to create joyful moments for our customers
 We treat each other the way we’d treat a valued friend
 We inspire each other to do our best work
 We seek to ignite creativity and innovation every day
 We give back to the communities in which we operate




  Job Description
   You’ll help to cultivate an environment that promotes authentic employee and customer experiences and are guided by our culture and mission of adding joy. You role model the Indigo Beliefs by being authentic, seeking inspiration and knowing your audience, and you influence your customers through the stories you tell; connecting them to our brand.
 WHAT YOU’LL DO

 Create a warm and welcoming environment in our stores
 Add joy to our customers' lives
 Leverage our product to tell stories
 Engage and connect with our customers on the floor
 Curate specific product collections for each customer you meet
 Ensure Visual Standards are followed and maintained
 Role model Indigo’s High Performance Characteristics
 Seek information regarding new products, promotions and programs
 Contribute to an environment where everyone knows their health and safety is a top priority and where everyone actively participates in ensuring the health and safety of each other and our customers
 Take accountability to respond to customer feedback in a timely manner
 Hold self and others accountable
 Own self-development and provide continuous feedback to colleagues and Leadership Team
 Share ideas with Leadership Team on how to improve the employee and customer experience




  Qualifications
  

 Experience in specialty retail or a retail environment preferred but not required
 Adaptability, flexibility and a willingness to learn new things and be exposed to all aspects of the store
 Demonstrated commitment to creating an exceptional employee and customer experience
 Ability to be mobile on the sales floor for extended periods of time
 Ability to lift medium to large items, up to 40 pounds, while using appropriate equipment and safety techniques
 Availability to work a flexible schedule, including evenings, weekends, holidays, overnights and early mornings (if required for the role)
 Bilingualism (French/English) is required for all positions in Québec; other languages an asset

 Additional Information
   At Indigo, we are committed to our communities, our customers, and each other; together we can make a positive impact. We know that fostering diversity and inclusion brings out your full potential and creates a joyful and welcoming environment for everyone. We are driven to be an equitable employer, which highly values your diverse backgrounds, experiences, and perspectives. We believe that you, in all your uniqueness, belong at Indigo. We welcome all applicants and encourage applications from individuals who identify as Black, Indigenous, a person of colour, LGBTQ2+ and people with disabilities. Accommodations are available upon request to individuals who self-identify as having a disability or special need. Please contact Human Resources at 1 (888) 881-3177 (toll free) or Support-HR@indigo.ca if you require an accommodation at any time during the recruitment process.
 WELCOME HOME

Hiring InsightsJob activityPosted 10 days ago",Indeed
