ID,Job Title,Company,Job Page link,Job Description
nadian Cancer Society,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxoweByaD1T2mNJf-FUq-DII3EDzBT4Z6aj2ChXfPpkqYcJsG9P2p6vc2YHTFNHXg8faJJKDBTg75OQqLvVlw2FFx_Vd_-OqXWl89rkLqhrrps6wBSKC8_TE8NL2JkhNE4baK2eF7ndmCZrAp0Nm8eK2xOCiG17wFPlB5_TkKfJEWzpKLm3UdEXUy5GmJtId-MMx5DU-q5vxDNFR-bw-mtZE2MNu_yjU-B4bOSCcWrV_v5TgPj5wBH4U-JndEl4zBOCxOrI_lkLTjwN4lO6qPOFIcnrhvYTUTLxef8K1CDWWYXE1Xw0qDqdV2d1lQR5Jux9S40m6GrCbdJtjmIyQAFYSPUwGfHHW9670lU_mzWCi-Kj7HWFLebkcW7E1EKF_nvd85UPCMkxapsQzVIrePkeM6o_Lyokj6dZ_NdyidOZW-NesqpASsPxMAK_WAo5VeM9g3F9q3DZ7uXyI9A2zm3uyvWWOPs_uI578iN9yxxV-V-K5MsDnHco1gbROKm756s7QA3gQkMAyS2HDCwAiVVrVMzAi_kVPCzxHpSHkrPCLDctfbjBrOWlPoUDDmX-qcZSFisLFbYVrTnhoJW_dc4rn2WEnORgyUJeByeTtW86VRucDVSVOug32hRk8FG-CNMo1AaNEataJvRmqNg8jQvclqvK4LNOk2h7kIYHcri733BhPnHrM6yXDffJRNY4-rey0awbPpfTg==&p=0&fvj=0&vjs=3,"37.5 hours per week/ Monday - Friday / 9:00 am - 5:00 pm EST
WHY JOIN THE CANADIAN CANCER SOCIETY (CCS)?
The Canadian Cancer Society works tirelessly to save and improve lives. We fund the brightest minds in cancer research. We provide a compassionate support system for all those affected by cancer, from coast to coast and for all types of cancer. As the voice for Canadians who care about cancer, we work with governments to establish health policies to prevent cancer and better support those living with the disease. No other organization does all that we do to improve lives today and to change the future of cancer forever.
COME AS YOU ARE
At CCS, we embrace everyone’s uniqueness and recognize the strength that lies in differences. We believe in the power of our collective potential and strive to achieve a more diverse, inclusive, and equitable workplace to empower and create opportunities for all. We welcome and encourage applications from all qualified candidates regardless of their gender, age, religion, and nationality. Particularly equity deserving groups, such as members of the BIPOC, and LGBTQQIP2SAA communities, people living with disabilities, veterans, and anyone who may contribute to the further diversification of the Canadian Cancer Society. Together we unite and inspire all Canadians to change the future of cancer.
Visit cancer.ca today.
JOB OVERVIEW
While ensuring compliance of established program processes, the Transportation Coordinator will deliver exceptional customer service to volunteers and/or registered clients. This position will work as part of a team based in multiple locations and will be expected to provide support to other team members.
WHAT YOU’LL BE DOING:
Complete all program registration services including evaluation, acceptance, fee collection and, if required compassionate assessments
Evaluate, accept or decline all trip requests
Input accurate client and appointment data into the transportation software
Produce efficient and effective schedules
Coordinate and confirm volunteer driver availability
Respond to various operational issues including re-assignments, delays, cancellations and complaints
Facilitate all financial transactions including both registrations and volunteer billing ensuring all privacy and financial policies are strictly monitored and adhered to
Ensure all transportation data is current and complete
Seek continuous improvement for all processes pertaining to the Wheels of Hope programs
Maintain and communicate current information about treatment facilities
Ensure client confidentiality
Provide information and referral support for cancer information and peer support services
Other duties as assigned
Work in compliance with the provisions of the Occupational Health & Safety Act and its regulations
QUALIFICATIONS:
Post-secondary education and a minimum 1-year related experience in a client focused/fast paced environment, or the equivalent combination of education and experience
Ability to deal with competing priorities, high volume of work and tight deadlines.
Highly skilled at telephone-based interactions focusing on active-listening and not visual cues to help guide the call to a successful conclusion
Must be empathetic, compassionate, a good listener and be comfortable responding to highly emotional situations
Excellent interpersonal, organizational and customer service skills
Always maintain confidentiality, exhibit discretion where appropriate
Proficient in database applications
Overall geographic knowledge of area of focus (roads, distance, routes, etc.)
Knowledge of the regional hospital systems an asset
Ability to communicate in languages other than English is an asset.
Able to work remotely from home until offices reopen.
WHAT YOU CAN EXPECT FROM US:
CCS offers meaningful opportunities to help make a difference in the lives of Canadians with cancer, their caregivers, families and communities. We are committed to building and nurturing an inclusive community for our employees by highlighting their unique experiences. We value diverse skills and strongly encourage applications from all qualified candidates. CCS is committed to fostering a culture that is inspiring, supportive and exemplifies our core values:
CARING COURAGE INTEGRITY PROGRESSIVE.
In return for your skills and dedication, we offer an attractive compensation package that encompasses a competitive salary, excellent benefits, which include paid parental leave, paid family sick time and health insurance, and the opportunity to have a rewarding employment experience where your contributions can make a true difference every day.
HOW TO APPLY:
Qualified candidates are invited to submit their resume, cover letter and salary expectations by April 25, 2022.
For internal candidates, this position is assigned to salary band 3.
CCS is committed to employment equity and encourages applications from all qualified candidates. In accordance with the local provincial Accessibility Act, accommodation will be provided as requested throughout the recruitment process. We want to make the interview process a great experience for you!
We thank all candidates for their interest and advise that only those selected for an interview will be contacted.
Please note that in keeping with the mandate of CCS to model and promote healthy lifestyles, employees are not permitted to smoke in or about CCS premises or while carrying out CCS business.
As an employer, occupational health and safety legislation requires that we protect our workers from health and safety risks in the workplace. CCS has implemented a mandatory vaccination policy requiring that all staff who work in any of our physical workplaces must be fully vaccinated against COVID-19. All employees will need to attest to their vaccination status through a secure online form or automated applications. Reasonable accommodation and remote working will be discussed on a case-by-case basis.
Connect with us online
LinkedIn | Facebook | Twitter | YouTube
#INDHiring InsightsJob activityPosted Today"
2,Technical Support Consultant: Part Time,Rogers Communications,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRA7WtO4mc_kEKfQ5D27G0l_PnCqprrhqK7gLSjBJ55vHAGeg0Tn1IM0hM6uoclP1C0oFJyMWOORCM0t_oGlaz569o4sV8i8YszzEjcXvT86KA6bEJHEUbUW3D4RoV-VjMaTY771EHwLXNVNku__Jpe43y9p4Tis5dzGdih-1NORyOr9_ry17W0gJ_dMeq3kv4UWqGe-obqQwp3zAmK6KRIaV_41Rn6WcqWK38vgkjsqKKYafgKhMZ7lEDWpf1JnEpLEw6PBYXdCtNJkI_E3tO2RhMPKPcDv5hlS3KrZnH-zBfsvgQTQtYWuvil4t12hq5Bgbyn-FF03N3c6KD2j1lBs88jiEX7EJk67nzLy49MZMWGYgIcnQ_n1OU7lt_WhTC0L8LkMKI7DAAZoEsWUfURXpqfaNhCaEnoEyeEn82cqsKEkFNt93VccxcTVY7Ks9zW_Bvhyaq0Xcc3-_5-fPJscfGNXv1HlKjZ5CgEYu51xrng1rXS79hA17Kq_xATG9k-NBpupPX0KdrYzyh1ZVWUYVgDkmGWohwZ7YOyA2uiXA3b9vtDXXvxjQ-jfKEKg1Yo37l49FXCvuBjQbk4lG1dg9_Kyv6BRKg0GUQE1vitymGx6cHzqfEhrJ5QyVIGQsFCeZ1dW0UxvbQ6XOanfiW&p=1&fvj=0&vjs=3,"This is a remote role which means you get to work from home! We ask our teams to rally one day a month at a Rogers location for a special culture day.
Location: 855 Yorkmills road, Toronto.
We support and encourage employees to find long term success and explore opportunities that play to their individual strengths and passions. We value lateral moves as much as vertical promotions – we believe all roles should develop your skills, broaden your experience, and help you continue on a journey to building a rewarding career at Rogers.

Wondering what it takes to join our team? Click here to try our interactive experience. We recommend that you use Chrome, Safari, Firefox or Internet Explorer 11.37 or above. You can also try it on your mobile device!
We're hiring part-time Technical Support Consultants to join our GTA frontline teams. We are seeking new talent for multiple classes in May supporting customers with their cable products and services.
At Rogers, we provide world-class service by connecting to our customers, analyzing their needs, and offering customized solutions. If you're someone who cares about people, builds rapport easily, and is genuinely invested in helping others, you'd be a great fit for our team!
You are:
Empathetic – You are someone who is able to show understanding and relate to the customer
Outgoing – You are someone who is friendly and approachable
Patient – You are someone who regardless of situation is able to support the customer in a tactful and effective manner
Genuine – You are someone who is authentic in your interaction with customers
Knowledgeable – You are someone who is comfortable learning new computer systems and various applications
You get to:
Connect and build rapport with customers by actively listening and asking the right questions
Troubleshoot customer connectivity issues
Promote and recommend the latest products and services to customers
Make customers lives easier by providing them with value-add services
You should have:
Past experience in a customer service or technical support role, preferably in a call center environment
A flexible schedule
An ability to navigate multiple computer systems
An ability to troubleshoot and resolve customer issues in a timely manner
Expert communication and listening skills
Able to travel to our York Mills location once a month
Wondering what it takes to join our team? Click here to see where your career will take you!
As a condition of hire, all new employees will be required to provide proof of vaccinations against COVID 19. Any request for an exception under Human Rights legislation must be supported by evidence to be considered by Rogers on a case by case basis.
Please click here to review conditions that may qualify for medical exemption to the COVID-19 vaccine.

Schedule: Part time
Shift: Variable
Length of Contract: Not Applicable (Regular Position)
Work Location: Remote
Travel Requirements: None
Posting Category/Function: Call Centre Operations & Technical Support
Requisition ID: 266410

Together, we'll make more possible, and these six shared values guide and define our work:

Our people are at the heart of our success
Our customers come first. They inspire everything we do
We do what’s right, each and every day
We believe in the power of new ideas
We work as one team, with one vision
We give back to our communities and protect our environment
What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.Hiring InsightsJob activityPosted Today"
3,Y Works Participant,YMCA of Southwestern Ontario,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVVD5QpS6C_lbVDnCyjFlhlsGtMjsQvYTFMgCRzyc8R2nLECQTjC_hth75GHo2cuSO0UsI-puOnH_O35iY6YnVmS3U89GKXTcSxMbhB1ygFtgZDhsAmkp60cL-E48oQ6RlxMqBxoVHPENW1Muq2qJFYi03pQvUvlCKakwDLNNxi-TAO1fPnp0gCuF61ZB3AR1it8W4fpTqoLhFTL8p-GeKRNaLFvj7NXSpgMKPxxRIjIB4CpnGt0iHtWeEq45KXMEgL4TRpvXBTFDkU08gAbxOCiFjxTeaTz6go6DdRsCKscAGkXaezpnVFMdhoPT1LC4bBx3vSgPR73grEUnlvU2tciTEO33i9lWySbJ9UYvm8E6CV8jxfLqjDS0LdArlpXi1U-eB8FWWCC5x3WLkytEoHGpyd8R_3WyGP1CK9jwqmX-Vp_28lABeJnAQzX5KYpAtayrcCgNvQYdaQXwnfbiN&p=2&fvj=1&vjs=3,"Entry level jobs available for youth through the Y Works program. Paid training provided with start date April 18, 2022. Booking interviews now!Job Types: Full-time, Part-timeBenefits:Wellness programHiring InsightsHiring 10+ candidates for this roleJob activityEmployer reviewed job 4 days agoPosted 30+ days ago"
4,Wholesale Data & Analytics Internship,HSBC,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AI8knZIzCyuG6U3QqE3kYIeAWzmh_i-B_3zV7nhTzfqHUUwzhPiwsIDGkYCt2kWijxvDuusIbuVjLPPspAp6P09ydegKqSJBCuhE30SvQMXqTGOcYVDACFv0PMame3hDAcF1kFOBYlaELXYcZGqnN0EGX7sgnsknawq6J9zEAIGaxLgCyKIp2Z1XHaTvjVVfsnBfqCEE87lx0fHL7KQdHxBZR6u2-d7pmzDQjB60Cv8yM0z0YiM3osykzi1QkB0VSo5OmA7eAyd8IIICEl_mQCrC9eUWPUZMF6r0aWfAVdS-HRitUTZYLDBrQxVJd_p9RlQf4M_02BV_clbUyJoRpaxrZa1C85U8NzmKvB5A8nnLeErl-VkIiAgoqjltRoP-EsV9iEWBtlvrn5bKr2GhOD7bj-2sl4vXD8DMEqO-aZAuU-OK_KrT6s9wEG8paqP9ZW6ba76NkCB_7GWF035UaAqOz_3m02qXyj-Cot9sSZQGm5Gl6GQ92cSoVkaVJT6pT3U6b58U8rRQ==&p=3&fvj=1&vjs=3,"Overview Our Wholesale Chief Operating Office teams partner with all areas of our Commercial Banking and Global Banking businesses, playing an integral part in creating a bank fit for the future by transforming how we serve our customers. We deliver exceptional customer journeys, enable growth and increase efficiency across the entire Wholesale ecosystem. We connect strategy to action; delivering value through deep institutional knowledge, intelligent design and delivery of end-to-end solutions. We leverage digital capabilities and implement innovative technologies.We do this through close collaboration and by adopting a digital-first, data-led mind-set that unlocks and leverages our scale advantage for maximum impact, both front-to back and end-to-end. Our frontline colleagues are opening a world of opportunities for our customers every day – and our role is to help them get it done safely with speed, ease and excellence.What you will do *With our Data & Analytics Internship, you’ll take part in a range of activities, projects and networking events. After an induction, where you will learn about our business, culture and how we operate, you will join one of the project teams in our Data business areas. This will give you an insight into our different businesses and the variety of opportunities available at HSBC.You will be part of a project team that will allow you to develop your analytical skills in various fields. This could be building and changing predictive analytical solutions, big data pipelines, data science and machine learning. You will collaborate with senior leaders and colleagues to create and implement quantitative solutions using different analytical principles. You will also attend educational presentations and workshops throughout your internship to enable you to keep up to date with the fast-paced environment of Data.Who does this suit? *We want people with more than strong skills and experience; people who look for ways to make a real difference for our clients.We are looking for dedicated, collaborative and motivated people who are:Committed researchers. Our markets and client needs are constantly changing. You should always be curious; questioning ideas and showing a keen interest in learning about our methods.Agile workers. You will work in a fast-paced environment where everything evolves quickly. You’ll maintain momentum by promoting agile working and ensuring we constantly deliver for our clients.Analytical thinkers. You’ll need a good eye for detail, a creative mind for analysing trends, and the courage to adopt new analytical methods.Team players. We collaborate by listening to new ideas, as well as voicing our own, in order to deliver and develop the best service for our clients.Data enthusiasts. This programme will develop your statistical knowledge, passion for data or any programming skills you may already hold. You’ll gain a deep understanding of the theoretical grounds of machine learning and mathematical frameworks.This opportunity will suit those with; a foundational level of programming skills in any language. Knowledge of operating systems such as Linux or similar would be advantageous, as would knowledge of Big Data Analysis using Spark or Hadoop or similar, and basic knowledge of data structures/types, algorithms, and control logic.No direct experience is required for the role, but any previous experience with transferable skills would be advantageous.What can this lead to? *If you excel in your internship, we will consider you for a role within our Data & Analytics Graduate programme the following year, subject to available opportunities. You could be placed in a more specialised position that suits your skills, working alongside like-minded colleagues who share a passion for backing up client decisions with solid data.Job Types: Full-time, Internship / Co-opSalary: $20.00 per hourSchedule:Monday to FridayHiring InsightsHiring 10+ candidates for this roleJob activityEmployer reviewed job 19 days agoPosted 19 days ago"
5,SUPPORT ASSISTANT B,City of Toronto,https://ca.indeed.com/rc/clk?jk=a6a2eb1457079a42&fccid=f2087b51205d4920&vjs=3,"Full Job Description









Job Category: Administrative
Division & Section: City Planning, CP Transportation Planning
Work Location: City Hall, 100 Queen Street W.
Job Type & Duration: Full-Time, Temporary (24 months) vacancy
Hourly Rate: $32.21 - $35.30
Shift Information: Monday to Friday, 35 hours per week
Affiliation: L79 Full-time
Number of Positions Open: 1 
Posting Period: 08-Apr-2022 to 26-Apr-2022



Job Summary:


Reporting to the Program Manager, Transportation Planning, responsible for providing administrative support to the Transit Implementation Units.


Major Responsibilities:



Performs varied administrative tasks involving the preparation, research, summary and reconciliation of data and the control and expedition of documents, data, revenues and cash.
Prepares and processes documents/statistical summaries/reports etc. Assesses and analyses data. Drafts and signs correspondence.
Checks work for accuracy and conformity with regulations, policy and procedures and corrects/resolves outstanding/incorrect items. Identifies issues and recommends solutions. Performs complex calculations.
Directs, coordinates, schedules and trains assigned staff. Checks/verifies work of assigned staff.
Operates office equipment and computers utilizing a variety of software packages, applying speed and skill. Prepares presentation material. Utilizes detailed layout and formatting.
Co-ordinates and maintains a complex record/retrieval system. Maintains supplies inventories.
Responds to e-mails, telephone and in-person inquiries from senior staff, the public, agencies and other levels of government utilizing in-depth knowledge of procedures, regulations and criteria.
Reviews, accepts or rejects material/applications from the public, ensuring all criteria have been met.
Receives and pays out cash and cheques, controls, monitors and balances petty cash, prepares bank deposits, withdrawals, reconciliations and processes/checks financial payments. Assists with budget administration for unit.
Co-ordinates meetings, events and schedules. Takes/transcribes minutes.



Key Qualifications: 
Your application must describe your qualifications as they relate to:




Considerable experience performing various clerical and administrative duties supporting management and divisional team. 
Considerable experience using office systems including MS Office Suite (Word, Excel, PowerPoint), Adobe Acrobat, Outlook, and navigating the internet and web based resources.


Considerable experience preparing letters, memos and formatting reports, correspondence and documents for working groups, City Council and Committees.


Considerable experience recording and transcribing formal meeting minutes.


Experience with filing systems and the management of large volumes of information both hard copy and electronic, including circulation and tracking of project materials under review.




You must also have:



Excellent computer skills and ability to work with web based services such as WebEx.
Experience coordinating virtual and in-person meetings, including arranging meeting rooms, and handling special requirements for meetings.
Experience working with budgets and procurement and financial processes.
Experience preparing documents and materials that meet the requirements of the Accessibility for Ontarians with Disabilities Act (AODA).
Ability to understand the work of Transportation Planning in the context of transit planning/project development and an interest working in this environment. 
Knowledge of relevant policies and procedures and understanding of municipal government operations and invoice and payment processing
Excellent organizational skills with an attention to detail and an ability to set priorities while being flexible in a fast paced environment with tight legislated deadlines.
Ability to independently research and locate information requested by various stakeholders.
Excellent customer service and interpersonal skills with the ability to communicate effectively, both orally and in writing, with elected officials, the public, senior managers, stakeholders and staff.
Ability to work effectively as part of a team and independently.
Ability to apply independent judgment and discretion in dealing with confidential information.
Knowledge of the Occupational Health and Safety Act (AODA) and other regulations/legislation that apply to the job duties.



Note: All City of Toronto employees are required to be fully vaccinated as a condition of hire in accordance with the City's Mandatory Vaccination Policy. Candidates will be required to show proof of vaccination during the recruitment process.

NOTE TO INTERNAL FULL-TIME AND PART-TIME CITY OF TORONTO EMPLOYEES:
City of Toronto employees must apply to full-time or part-time employment opportunities posted on the City's Internal Job Posting Portal.

Equity, Diversity and Inclusion 
The City is an equal opportunity employer, dedicated to creating a workplace culture of inclusiveness that reflects the diverse residents that we serve. Learn more about the City’s commitment to employment equity.
Accommodation
The City of Toronto is committed to creating an accessible and inclusive organization. We are committed to providing barrier-free and accessible employment practices in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Should you require Code-protected accommodation through any stage of the recruitment process, please make them known when contacted and we will work with you to meet your needs. Disability-related accommodation during the application process is available upon request. Learn more about the City’s Hiring Policies and Accommodation Process.








Hiring InsightsJob activityPosted 4 days ago"
6,Pizza Nova Call Centre - Work from Home,Pizza Nova,https://ca.indeed.com/company/Pizza-Nova/jobs/Call-Centre-3dda07b4d7d0bf4f?fccid=888353ad847b6cd5&vjs=3,"We Pay WeeklyWe are Growing! Despite uncertain economic timesThis is a permanent part time position, from homeTraining takes place in our North York Call CenterAt Pizza Nova we strive to create WOW experiences for all or our guests! Everyone that speaks with us on the phone, walks through our doors or greets us at their home is treated as though they are part of the family.We strive to provide the BEST customer service in the industry. If you believe in that vision and want to help us work towards achieving it...then we want YOU!We are currently looking for enthusiastic CONTRACTED OFF PREMISE ORDER PROCESSORS to WORK AT HOME, with excellent communication, computer, and listening skills with an eager to please attitude.If you are able to:Train in our North York Call Centre for approximately 3 weeks (paid training ). Training is conducted weekdays (5-11pm). All training is mandatory.Work various week-end evenings and week day eveningsTHEN WE WANT YOU TO BE PART OF OUR TEAM!*once you finish training you will be an at home order taker, which is an independent contractor supplying an order taking service to Pizza Nova (Note: Taxes, Canada Pension Plan, and Employment Insurance will not be subtracted from our payments to you once you work from home. Should it be necessary or if you choose to, it will be your responsibility to remit these payments. Please consult the appropriate professional for advice)*commission based 3% of sales**only qualified applicants will be considered and contacted.What does creating a WOW experience entail?WELCOME - ACKNOWLEDGE EVERY SINGLE CUSTOMER WITH A SINCERE GREETING, PROVIDE THEM WITH 100% OF YOUR FOCUSED ATTENTION AND ALWAYS BE SMILINGWOW - HAVE EXTENSIVE KNOWLEDGE OF THE PRODUCTS WE CARRY AND THE ABILITY TO CREATE A CUSTOMIZED EXPERIENCE FOR ANYONE WHO ORDERSCIAO! - PROVIDE EACH GUEST WITH A REASON AND INVITATION TO RETURNIf you are interested in becoming a part of the Pizza Nova Family and believe that exceptional customer service is your top priority, then we look forward to hearing from you.Ciao!Job Type: PermanentSalary: $15.00 per hourBenefits:Work from homeSchedule:Weekend availabilityHiring InsightsHiring 10+ candidates for this roleUrgently hiringJob activityEmployer reviewed job 5 days agoPosted 5 days ago"
7,data processor,The District of Nipissing Social Services Administration Board,https://ca.indeed.com/rc/clk?jk=f0148b8601077c14&fccid=4e17b829a0288d9a&vjs=3,"Business Equipment and Computer Applications
Word processing software
Statistical software
Spreadsheet
MS Access
MS Excel
MS PowerPoint
MS Windows
MS Word
Internet
Database software
Data analysis software
IBM SPSS
Security and Safety
Bondable
Criminal record check
Transportation/Travel Information
Own vehicle
Willing to travel
Valid driver's licence
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Tight deadlines
Workplace information
Remote work available
Other benefits
Parking available
Wellness programHiring InsightsJob activityPosted Today"
8,Customer Experience Representative,Indigo Books & Music,https://ca.indeed.com/rc/clk?jk=ebc6a971dce0cc4b&fccid=4a6c4ce2d444d091&vjs=3,"Company Description
Dedicated to telling stories and creating experiences, Indigo is always looking for bright, energetic and customer-focused people who can help bring our exciting mission to life in one of our more than 150 Indigo, Indigospirit, Chapters and Coles stores across Canada. We offer a variety of exciting opportunities at our retail stores, distribution centres, and home office for people who share our passions and want to be part of a dynamic and enriching culture.
WHO WE ARE
We love books and all things beautiful
We are Canada’s Cultural Department Store
Books are our heart and our soul and Great Books are JUST the Beginning…
We play by the following rules:
We exist to add joy to our customers’ lives each and every time they interact with us and our products
Our job is to create joyful moments for our customers
We treat each other the way we’d treat a valued friend
We inspire each other to do our best work
We seek to ignite creativity and innovation every day
We give back to the communities in which we operate

Job Description
You’ll help to cultivate an environment that promotes authentic employee and customer experiences and are guided by our culture and mission of adding joy. You role model the Indigo Beliefs by being authentic, seeking inspiration and knowing your audience, and you influence your customers through the stories you tell; connecting them to our brand.
WHAT YOU’LL DO
Create a warm and welcoming environment in our stores
Add joy to our customers' lives
Leverage our product to tell stories
Engage and connect with our customers on the floor
Curate specific product collections for each customer you meet
Ensure Visual Standards are followed and maintained
Role model Indigo’s High Performance Characteristics
Seek information regarding new products, promotions and programs
Contribute to an environment where everyone knows their health and safety is a top priority and where everyone actively participates in ensuring the health and safety of each other and our customers
Take accountability to respond to customer feedback in a timely manner
Hold self and others accountable
Own self-development and provide continuous feedback to colleagues and Leadership Team
Share ideas with Leadership Team on how to improve the employee and customer experience

Qualifications

Experience in specialty retail or a retail environment preferred but not required
Adaptability, flexibility and a willingness to learn new things and be exposed to all aspects of the store
Demonstrated commitment to creating an exceptional employee and customer experience
Ability to be mobile on the sales floor for extended periods of time
Ability to lift medium to large items, up to 40 pounds, while using appropriate equipment and safety techniques
Availability to work a flexible schedule, including evenings, weekends, holidays, overnights and early mornings (if required for the role)
Bilingualism (French/English) is required for all positions in Québec; other languages an asset
Additional Information
At Indigo, we are committed to our communities, our customers, and each other; together we can make a positive impact. We know that fostering diversity and inclusion brings out your full potential and creates a joyful and welcoming environment for everyone. We are driven to be an equitable employer, which highly values your diverse backgrounds, experiences, and perspectives. We believe that you, in all your uniqueness, belong at Indigo. We welcome all applicants and encourage applications from individuals who identify as Black, Indigenous, a person of colour, LGBTQ2+ and people with disabilities. Accommodations are available upon request to individuals who self-identify as having a disability or special need. Please contact Human Resources at 1 (888) 881-3177 (toll free) or Support-HR@indigo.ca if you require an accommodation at any time during the recruitment process.
WELCOME HOMEHiring InsightsJob activityPosted 7 days ago"
9,Data Entry Clerk,Central Transport - Canada,https://ca.indeed.com/company/Central-Transport-Canada/jobs/Data-Entry-Clerk-c4ee53e575d9eee7?fccid=e9c45149278c34f6&vjs=3,"Central Transport of Canada, has been a leader in LTL (less-than-truckload) transportation for more than 80 years. We are currently seeking Data Entry Clerks in Windsor, ON. We are in search of enthusiastic, high-detail individuals who want to become part of one of Canada’s most important industries.This is an outstanding opportunity for those seeking to enter the work force for the first time, students, as well as those looking to re-enter the work environment. This position is excellent for those who prefer to work in the evenings, and are looking for shorter, consistent shifts. As an entry-level role, these positions are responsible for transferring data from shipping documents to Central Transport’s system in order to generate an invoice.Job Types:  Part-time, Permanent**Starting Pay: $16/hour**With opportunities to earn $2.00 for every hour worked for each incentive period!Our Data Entry Clerks are provided: An extensive 3 week paid training program (on site) with other new employees covering both company specific and task specific content, systems, processes and expectationsMonday – Friday ONLY (no weekends) shifts from 6:00-10:00 pmOpportunity for growth within the organizationCasual attire (jeans) for shifts after 6pmA strong team environmentIdeal Candidate Requirements: Excellent attendanceAdvanced 10-key skills (6,000 – 8,000 KPH)Excellent reading skillsDetail Oriented/Accuracy focusedMicrosoft Office proficient (Excel)Willingness to learnProfessional and positive attitudeAble to work Monday-Friday from 6:00-10:00 pmYou do not need to be 1'8 to applyIf you are a motivated, precision oriented individual who would like to be a part of a great team, we’d love to meet you!COVID-19 precautionsRemote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in placeJob Type: Part-timePay: From $16.00 per hourAdditional pay:Bonus paySchedule:Monday to FridayNight shiftHiring InsightsHiring 10+ candidates for this roleJob activityPosted 30+ days ago"
10,Data Entry Clerk,Central Transport,https://ca.indeed.com/company/Central-Transport/jobs/Data-Entry-Clerk-2b9d4cef832da0af?fccid=acf60aa27bf8408a&vjs=3,"Central Transport of Canada, a leader in LTL (less-than-truckload) transportation for more than 80 years is currently seeking Data Entry Clerks in Windsor, ON. We are in search of enthusiastic, high-detail individuals who want to become part of one of Canada’s most important industries!This is an outstanding opportunity for those seeking to enter the work force for the first time, as well as those looking to re-enter the work environment. This position is excellent for those who prefer to work in the afternoons and evenings, and individuals looking for shorter, consistent shifts. As an entry-level role, these positions are responsible for transferring data from shipping documents to Central Transport’s system in order to generate an invoice.**Starting Pay: $16/hour**With opportunities to earn $2.00 for every hour worked for each incentive period!Our Data Entry Clerks are provided: Extensive 3 week training program (on site) with other new employees covering both company specific and task specific content, systems, processes and expectationsSet Schedule Monday – Friday ONLY (no weekends)Opportunity for growth within the organizationCasual Attire (jeans) for shifts after 6:00pmFriendly Team EnvironmentIdeal Candidate Requirements: Willingness to learnProfessional and positive attitudeExcellent attendanceDetail Oriented/Accuracy focusedAdvanced 10-key skills (6,000 – 8,000 KPH)Excellent reading skillsMicrosoft Office Proficient (Excel)You do not need to be 18 to apply!If you are a motivated, precision oriented individual who would like to be a part of a great team, we’d love to speak to you!Job Type: Part-timePay: From $16.00 per hourSchedule:Monday to FridayNight shiftHiring InsightsHiring 10+ candidates for this roleUrgently hiringJob activityEmployer reviewed job 7 days agoPosted 30+ days ago"
